sample_id,horvath2013_EAA,hannum_EAA,grimage2_EAA
GSE80417_9969489022_R03C02,-3.095723738039084,0.4385042589095036,0.0655148780030003
GSE147221_200379120092_R02C01,1.4230044231932766,2.659446242120616,-2.4026565329296545
GSE80417_9980092055_R01C01,-0.327067410452841,1.947222992273524,-0.8524612511944696
GSE80417_9980092055_R03C02,1.2043468893406413,4.016538873524389,0.8547763471515992
GSE84727_3998567004_R03C01,2.6905891972254565,1.529273802581656,-2.646333267508496
GSE147221_200379120028_R03C01,4.304583119337089,-0.9749895620379192,-5.336175460933816
GSE84727_101103430075_R03C02,-1.4347168393518714,1.490846821337385,-3.263135072661996
GSE147221_200049730116_R01C02,0.70362011326295,-1.8894415555984525,-2.4615619814762653
GSE80417_9878827143_R06C02,2.007474358640046,5.46619077443998,-1.3175830332897362
GSE84727_101103430155_R01C02,3.914395582569412,-1.0531507588326292,-4.524635993295483
GSE80417_9980092070_R01C02,-7.994246516914089,0.9454189547693376,7.908279021443093
GSE80417_9769100109_R06C01,3.4016830542682115,3.4816423975171986,-2.961348966417134
GSE152027_10003885059_R02C01,3.217576788032794,2.490600962852767,4.987708759063111
GSE84727_100973330068_R05C02,4.65628269730162,-2.9410132368214192,-4.60426982166792
GSE80417_9980092098_R01C01,-6.730744212663893,-2.588979293213584,2.3128195882783444
GSE84727_3999442061_R06C01,-0.4685261145444599,-2.1916095711634256,-1.750865212314224
GSE84727_3998634017_R04C02,3.894181448582167,4.173463749095681,3.5843435087417106
GSE84727_101103430134_R06C01,8.372610249781523,6.093131657288453,-4.585343416533362
GSE80417_9980102001_R05C01,-4.377464092738812,-2.3528659991151457,3.897407457891063
GSE84727_3998634014_R01C01,1.4919910459880228,-1.6484137067193032,-3.885620101359649
GSE84727_3998634048_R06C02,5.722918450184949,0.3716948505589386,-0.9796885147239038
GSE80417_9980092070_R06C02,-2.446970854054186,1.5004547606266314,8.235175387789226
GSE80417_9721367113_R06C02,-3.556373812745143,-4.607824131349442,0.6248867956751951
GSE80417_9980092051_R06C02,-0.5006057584373806,2.661496889168177,3.2205124499714657
GSE84727_101103430018_R01C01,3.787038257755541,0.4850662212458729,5.28725628585164
GSE80417_9971851048_R04C02,-4.258917679451763,2.1196605736062324,1.929278981006405
GSE80417_9878827118_R03C02,-1.61983620308348,0.5709013923847976,3.153809532725788
GSE84727_3998928098_R02C01,6.414084348445016,2.342575468855216,-2.9877459729231504
GSE147221_200090280030_R02C02,-2.9056448054208417,-2.600973452031454,-3.6712951271420025
GSE80417_9980102025_R05C01,-4.220349739557953,-1.4802004249065988,0.5778515486977085
GSE84727_3998919004_R04C02,-1.8771402790343568,0.5894771086127406,2.454688112248249
GSE84727_101103430134_R06C02,3.950627269114605,3.806839657228224,-2.1159859457833647
GSE147221_200379120018_R01C02,-6.901336556566697,-11.39465547367692,-9.33516863096458
GSE147221_200049730105_R01C01,1.4596685772606293,1.850305622885564,-0.1511162598217481
GSE147221_200090280119_R04C02,-4.045239965816592,-10.501230463766731,-10.273191644461384
GSE84727_100973330104_R05C01,-3.419657333964146,-3.4406864090204934,-8.148038622221065
GSE152027_3999002034_R02C01,-0.2303463849200682,-1.0686301214977334,2.005816721643086
GSE80417_9992571076_R05C01,0.7675865469826206,-1.2752704608690095,-2.806982584613124
GSE147221_200379120066_R06C02,0.4149710476560386,2.1367487146387845,-5.617036282042392
GSE84727_3998567038_R04C01,3.2201957405664245,1.057681482573443,-5.979045197826309
GSE147221_200049730104_R02C02,-0.8601522743887955,-4.34372213710801,-6.1744560106066615
GSE147221_200379120083_R02C01,-7.154199724090148,-4.329902711772519,-3.709817191277196
GSE84727_3998567014_R01C01,7.743859961424121,3.875415364092,3.714818094034925
GSE152027_10005771153_R05C02,-0.713895368886881,1.582374007176334,-0.0356521862547509
GSE147221_3998998211_R05C02,-1.8022135081464512,1.73137023563298,-4.632998224764123
GSE147221_200379120147_R02C01,2.9553258364494823,1.0544754606577982,-1.3282599881788857
GSE147221_200379120027_R03C01,2.511741454720898,1.5923531843524898,2.548296236016469
GSE80417_9828653144_R01C01,0.1591196343240355,-3.26218449932312,0.8591901675786033
GSE80417_9980102041_R01C02,-5.315240542662778,-0.6970439791285088,2.8855778999023727
GSE80417_9992571046_R03C01,-6.494143575232656,0.7841320718796254,0.8909681240852763
GSE80417_9971851022_R02C01,7.374784893914395,10.371394624056665,4.282209903993731
