source,target,average_causal_effect_estimate,bootstrap_edge_frequency
SCN5A,CRHBP,-0.1513637409665154,0.77
DGKG,RUNDC3A,0.1484946537671847,0.8575
TPBG,HOXB7,0.1466793913695517,0.9225
RUNDC3A,KIF26A,-0.1438652952141723,0.95
SH2B2,HOXB7,0.1411189249019397,0.7675
ICAM5,HOXB7,0.1396121733715398,0.9625
SOX18,GRIK5,0.1388367976421096,0.9625
CXCR4,CRHBP,0.1342510365575344,0.88
sex,WNT6,0.1301483053956245,1.0
PPP1R9A,CRHBP,0.124097031751206,0.86
CRHBP,E2F8,0.1224217420403268,0.8625
FGF11,CRHBP,0.1208674569063241,0.8025
ZNF233,NWD1,-0.1129678220902838,0.995
LUZP1,DAGLB,0.1125171446728409,0.8225
MIR492,DAGLB,-0.1083222552780243,0.765
SLC24A3,CRHBP,0.1082928480009328,0.8475
SOX18,HOXB7,0.1068379819689835,0.99
NET1,SLC24A3,0.1047748873354041,0.7575
PCDHGA1,NWD1,-0.1009701477828035,0.9175
FGF11,GRIK5,0.1006101857895951,0.8325
INPP5B,DAGLB,0.0992296348047478,0.8025
WNT6,HOXB7,0.0985242864752402,0.9925
PCDHGA1,SH2B2,0.097569798542167,0.9425
DLX2,ARTN,0.0971202113921186,0.885
SLC24A3,MIR338,-0.0969912664631862,0.7925
PCDHGA1,HOXB7,0.0925794468050875,0.98
SCN5A,ARTN,-0.0898057167819827,0.7775
sex,ICAM5,0.0889544110070628,1.0
LRP6,CRHBP,0.075828869295049,0.7625
TPBG,NWD1,-0.0758181817597369,0.9825
WNT6,NWD1,-0.0737085126791819,0.98
ETS1,ARTN,0.0728317193866632,0.795
PPP1R9A,ARTN,0.0701702697811963,0.885
SOX18,ADORA3,-0.0697022211550684,0.9425
sex,PCDHGA1,-0.0693303669564555,0.865
IGSF10,ARTN,-0.0687230722860183,0.7775
DGKG,NWD1,-0.0685230264749524,0.87
UBXN2A,ARTN,0.0635978813407056,0.89
ZNF233,TPBG,0.0633442970678839,0.85
ICAM5,GRIK5,0.0632260884872565,0.855
SPIRE1,ARTN,0.0619827405394655,0.855
DGKG,SH2B2,0.0607443894602477,0.8975
WNT6,GRIK5,0.0597711197176481,0.985
ZNF578,NWD1,-0.0597151219726188,0.995
WNT6,SH2B2,0.0588646063306189,0.7525
ZNF233,HOXB7,0.0580824622249294,0.9675
sex,CARD18,-0.0576769520799667,0.85
WNT6,ADORA3,0.0551094630544497,0.85
sex,SCN5A,-0.0507935625680889,0.9975
SOX18,FGF11,0.0503435191370189,0.8375
CRHBP,ARTN,0.049825144494159,0.8225
SLC24A3,ARTN,0.0492773128466346,0.945
ZNF578,GRIK5,0.0488856912989583,0.92
RNF135,ARTN,0.0484631754709647,0.95
SOX18,IGSF10,0.0479422981896391,0.96
LRP6,ARTN,0.0459819693863374,0.795
sex,GRIK5,0.0437458724164669,0.9725
ZNF578,HOXB7,0.0432173824086901,0.8975
KLHDC10,ARTN,0.0431692511882682,0.8275
CA9,ARTN,0.0415295084807103,0.765
sex,PSD3,-0.0404222102024345,0.975
sex,CALML5,-0.0377204759057869,0.8825
PCDHGA1,CARD18,0.0342090266148795,0.8525
sex,AHDC1,-0.0341022543028022,1.0
ZNF233,GRIK5,0.0313897397168975,0.7925
SOX18,AHDC1,0.0298158596521465,0.7775
sex,DGKG,-0.0267719010179914,0.905
SOX18,SCN5A,0.0232744686064546,0.99
sex,FGF11,-0.022393125549466,0.9175
sex,PCDHB15,-0.0197298042671112,0.825
SOX18,ST14,0.0165337007391599,0.845
sex,LUZP1,-0.0157801067489011,1.0
age,ZNF233,0.0145855152749434,0.9675
sex,MIR369,-0.0109475596408845,0.9625
SOX18,GIPR,0.0108020505473986,0.7775
