sample_id,chr2_DMR_182,chr17_DMR_544,chr17_DMR_735,chr19_DMR_21
GSE80417_9969489022_R03C02,-1.17351058932904,0.649409215543653,-4.07203114595142,1.06985963651004
GSE147221_200379120092_R02C01,-1.54932303101133,1.34680430639833,-3.97803207935742,0.945632337750299
GSE80417_9980092055_R01C01,-1.9171676855262,0.578265847724866,-4.01895053945188,1.17728293900517
GSE80417_9980092055_R03C02,-2.0791738416435,1.06914636984034,-3.99572665125135,1.48510022821598
GSE84727_3998567004_R03C01,-1.75039568866232,1.40005422758048,-3.98122055223344,0.68979910151095
GSE147221_200379120028_R03C01,-1.90764834832596,0.546461834045288,-3.91438746346131,1.06585828104629
GSE84727_101103430075_R03C02,-1.83266112398516,1.37830777655298,-3.96735445986287,1.06382144622511
GSE147221_200049730116_R01C02,-2.43579919918859,1.02892014933238,-3.88953188701526,0.808359778085763
GSE80417_9878827143_R06C02,-1.55406320282865,1.87027118586911,-3.8541294548079,0.57475523267203
GSE84727_101103430155_R01C02,-2.00982235618731,1.32950551207326,-3.85185174813489,1.38127586444438
GSE80417_9980092070_R01C02,-1.97572172740463,1.37173571558982,-3.81950907146805,0.947512767575651
GSE80417_9769100109_R06C01,-1.61243788613674,0.952708240974207,-3.85960084119838,1.45631776253156
GSE152027_10003885059_R02C01,-1.46276865003513,1.80742259166214,-4.03009538347337,1.13370363144548
GSE84727_100973330068_R05C02,-1.88255554278004,0.781823427237695,-3.95382122954127,1.14430422743273
GSE80417_9980092098_R01C01,-2.10878751807646,1.28052476654316,-3.95717665123788,0.949456878366896
GSE84727_3999442061_R06C01,-2.25532786381308,0.694757622313691,-3.89698068454629,1.56082866953533
GSE84727_3998634017_R04C02,-1.66769951113809,1.4331057177247,-4.02730923128258,1.01472741898552
GSE84727_101103430134_R06C01,-1.57198928500484,0.884765191694342,-3.88864332475073,1.00610309410971
GSE80417_9980102001_R05C01,-1.92740125964279,1.57492897285564,-4.02086898792859,0.688177603893087
GSE84727_3998634014_R01C01,-1.85444899774427,0.727493119393843,-4.09308307281212,1.1296592629177
GSE84727_3998634048_R06C02,-2.05911584873139,1.45748893898452,-3.84829043238075,0.19772803377429
GSE80417_9980092070_R06C02,-2.06875967041883,1.71648532550701,-3.83427534143484,0.836767791487273
GSE80417_9721367113_R06C02,-1.77730711329839,0.721510859627801,-3.98949432943526,1.04193193232602
GSE80417_9980092051_R06C02,-2.29130454759539,1.04587253000558,-3.95969359628277,1.39194215731753
GSE84727_101103430018_R01C01,-2.10408556992118,0.369868512223811,-3.94366153058012,1.00339356240994
GSE80417_9971851048_R04C02,-1.51403547346897,1.53052576126974,-3.9480133884637,0.62423073034995
GSE80417_9878827118_R03C02,-2.2767159392655,1.68258452334366,-3.99135282077863,1.06438126802831
GSE84727_3998928098_R02C01,-1.85363382815668,0.389730223405022,-4.04739088609974,1.14299259339155
GSE147221_200090280030_R02C02,-1.58343427306292,1.41838812688697,-3.9315930615028,1.15918933075868
GSE80417_9980102025_R05C01,-2.17616188681575,0.57092080691373,-3.99576401098294,1.22514463639617
GSE84727_3998919004_R04C02,-1.29741845918981,0.746301574222884,-4.02513655031294,1.5088162990617
GSE84727_101103430134_R06C02,-2.33339222026345,0.594368155165262,-4.00962991125911,1.21183181633754
GSE147221_200379120018_R01C02,-1.75415028215806,1.44272382342894,-3.94756890953091,1.54880695712521
GSE147221_200049730105_R01C01,-2.21609213118681,1.13597300176559,-3.92749399675155,1.720895360821
GSE147221_200090280119_R04C02,-2.04312730904858,0.335309807482425,-3.92711840179357,1.10774615193099
GSE84727_100973330104_R05C01,-1.80977759216904,0.6823800111418,-4.05941346214633,1.16421428104088
GSE152027_3999002034_R02C01,-1.56381350240392,1.38511024785466,-3.87881466018371,0.938910369166086
GSE80417_9992571076_R05C01,-1.9190525040612,0.468639106289537,-4.07514913171702,1.36341372542533
GSE147221_200379120066_R06C02,-1.56561717761777,1.51259264021104,-3.81104132570186,0.753323961725643
GSE84727_3998567038_R04C01,-2.32541530379709,0.631675169337406,-4.02959305931933,1.41364509082576
GSE147221_200049730104_R02C02,-1.65805225462505,0.806403169993307,-3.84277435925547,1.30529300657347
GSE147221_200379120083_R02C01,-1.90674389010905,0.533708353963624,-3.87107839249165,1.33676685470459
GSE84727_3998567014_R01C01,-1.57774538618947,1.90759114652666,-4.08115241799465,0.512147189737266
GSE152027_10005771153_R05C02,-1.94079151822388,0.591049945105655,-3.91335523845797,1.23031600588156
