dataset_comparison_pair,model,accuracy_ci,precision_ci,recall_ci,f1_score_ci,f2_score_ci,roc_auc_ci
"(c0,c1)",logistic_regression,"[0.0972222222222222, 0.1744598765432098]","[0.1159153889155046, 0.2103439755780138]","[0.0348371773386543, 0.1625714744619337]","[0.0850965897308311, 0.1809746178752928]","[0.0567863154068396, 0.1689817723527553]","[0.1219496498701882, 0.1990727154169253]"
"(c1,s0)",logistic_regression,"[-0.0185185185185184, 0.0601851851851852]","[-0.0448215862689036, 0.0515809300813341]","[0.0178493107769422, 0.1423591549295774]","[-0.0053391636001307, 0.0849580185921138]","[0.0101759600878725, 0.1177641791654778]","[0.0252207022232486, 0.0938886882359798]"
"(c1,s1)",logistic_regression,"[-0.0370756172839506, 0.0386188271604938]","[-0.0432861839705693, 0.0547949701902311]","[-0.0725353751629118, 0.0494832155477031]","[-0.0498145836055775, 0.0440201636392933]","[-0.0617735838495979, 0.0462459252838336]","[0.001423849478138, 0.0707373710437152]"
"(c0,c1)",random_forest,"[0.0956790123456791, 0.1666666666666666]","[0.1113142614817749, 0.2033373107614287]","[0.1076909722222222, 0.226778472456911]","[0.1178517927384405, 0.2066724780122293]","[0.1124448730045122, 0.2185811674150187]","[0.1064379500025456, 0.1740683584643725]"
"(c1,s0)",random_forest,"[-0.037037037037037, 0.0324074074074074]","[-0.0293094181160357, 0.0638929094956619]","[-0.1118649994073723, 0.0151515151515151]","[-0.0652354628959395, 0.0271326227783828]","[-0.091502363348874, 0.0189333221919309]","[0.0065569901335435, 0.0687029707144855]"
"(c1,s1)",random_forest,"[-0.044753086419753, 0.0262345679012345]","[-0.0436833564519737, 0.0529075873465501]","[-0.1115086353287462, 0.0040244034048751]","[-0.0692126370584861, 0.0198215345718667]","[-0.095023041462234, 0.0103653706064043]","[0.0023616862083641, 0.0638014404756541]"
